Eng Url,Rus Name,Rus Url,Rus Description
http://gameofthrones.wikia.com/wiki/Dorren_Stark,Доррен Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%94%D0%BE%D1%80%D1%80%D0%B5%D0%BD_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Доррен Старк — король Севера, правивший до начала Завоевательной войны. 
Ширен Баратеон спрашивает Давоса Сиворта, позволит ли ей отец спуститься в крипты Винтерфелла, где погребены все короли Севера, в том числе Бран Строитель и Доррен. («Убей мальчишку»)  
"
http://gameofthrones.wikia.com/wiki/Needle,Игла,http://ru.gameofthrones.wikia.com/wiki/%D0%98%D0%B3%D0%BB%D0%B0,"Игла — тонкий меч Арьи. Был подарен ей Джоном Сноу, а выкован Миккеном, кузнецом в Винтерфелле, специально для девочки. Игла — лёгкий меч, в отличие от тяжелых мечей рыцарей, и девочке легко с ним управляться. Игла больше подходит Арье для браавосийского стиля фехтования, в котором делается акцент на скорость, ловкость и быстрые атаки. Арья дала ему имя Игла, сказав, что Санса умеет хорошо вышивать и шить, и пусть ей остаются швейные иглы, у Арьи будет своя «Игла».
Джон Сноу взял меч у Миккена и подарил его Арье перед отъездом в Чёрный замок. Он сказал, что меч такой же тонкий, как она, и дал сестре совет «Бить острым концом». Тогда же Арья дала своему мечу имя, Игла (все знаменитые мечи должны иметь имя). («Королевский тракт»)
"
http://gameofthrones.wikia.com/wiki/Karlon_Stark,Карлон Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%9A%D0%B0%D1%80%D0%BB%D0%BE%D0%BD_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Карлон Старк — один из представителей дома Старков, основатель дома Карстарков. 
Карлон не упоминался в сериале, но появлялся в дополнительных материалах к шестому сезону.
"
http://gameofthrones.wikia.com/wiki/Catelyn_Stark,Кейтилин Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%9A%D0%B5%D0%B9%D1%82%D0%B8%D0%BB%D0%B8%D0%BD_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Кейтилин Старк, урождённая Талли — жена Эддарда Старка и леди Винтерфелла. От Неда у неё пятеро детей. Кейтилин умная и любящая жена, которая всеми силами стремится защитить свою семью.
Кейтилин Старк — дочь Хостера Талли из дома Талли. Она должна была выйти замуж за Брандона Старка, но Безумный король его убил, и Кейтилин вышла замуж за брата Брандона Эддарда. Хотя к моменту свадьбы они почти не знали друг друга, они полюбили друг друга, и их брак был очень крепким. У них родилось пятеро детей, Робб, Санса, Арья, Бран и Рикон. Также вместе с ними в Винтерфелле воспитывался сын-бастард Эддарда Джон Сноу. Кейтилин его ненавидела, хотя и понимала, что мальчик не виноват в том, что его отец ей изменял. Однажды в детстве Джон Сноу очень сильно заболел и был при смерти. Кейтилин молилась Семерым и обещала им, что, если Джон выживет, она примет его в семью как законного сына, у Джона больше не будет позорной фамилии «Сноу», и он станет законным наследником Эддарда. Джон выздоровел, но Кейтилин не сдержала свое обещание. Несчастья, которые произошли с ее семьей после этого, Кейтилин считает карой богов за то, что она не сдержала свое слово.
"
http://gameofthrones.wikia.com/wiki/Jon_Snow,Джон Сноу,http://ru.gameofthrones.wikia.com/wiki/%D0%94%D0%B6%D0%BE%D0%BD_%D0%A1%D0%BD%D0%BE%D1%83,"Джон — бастард  лорда Эддарда Старка, главы дома Старков, которые правят Севером. 
Джон не знает правду о своем происхождении. Нед обещал ему когда-нибудь рассказать, кто была его мать, но так и не успел этого сделать. Однажды Эддард сказал королю Роберту, что девушку, которая является матерью Джона, звали Уилла; больше он ничего никому про нее не говорил.
Обычно бастарды жили отдельно от отца, но Джон воспитывался вместе с детьми Эддарда в Винтерфелле. Жена Эддарда, Кейтилин Старк, ненавидела Джона. Она понимала, что этот мальчик не виноват в том, что его отец ей изменил, но ничего не могла с собой поделать. В любом случае, Джона обучали вместе с остальными детьми, он учился верховой езде, владению мечом и грамоте. Его братья и сестры относились к нему, как к равному, за исключением Сансы, которая старалась во всем походить на мать. Больше всего Джон любил свою младшую сестру Арью.
"
http://gameofthrones.wikia.com/wiki/King_in_the_North,Король Севера,http://ru.gameofthrones.wikia.com/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BB%D1%8C_%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%B0,"Король Севера — титул, который носили правители Севера до того, как этот регион вошел в состав Семи Королевств. Часто их также называли Королями Зимы. На протяжении нескольких тысяч лет королями Севера были Старки. На данный момент королем Севера провозглашен Джон Сноу.
Старки стали королями Севера давным-давно. Об их ранней истории мало что известно, так как в те времена ничего не записывали, это начали делать 6000 лет назад. Известно, что когда на Вестерос вторглись андалы, Старки уже правили в Винтерфелле. Согласно легенде, один из первых Старков Брандон Старк, более известный как Брандон Строитель, жил 8000 лет назад. Он собрал огромную армию, чтобы сражаться против белых ходоков, а также построил Стену, чтобы защищаться от них. Королям Севера успешно удалось защититься от андалов, и они остались править территорией севернее Перешейка. На них не повлияли культурные особенности андалов, и они сохранили обычаи и традиции первых людей, а также веру в Старых Богов.
"
http://gameofthrones.wikia.com/wiki/Mikken,Миккен,http://ru.gameofthrones.wikia.com/wiki/%D0%9C%D0%B8%D0%BA%D0%BA%D0%B5%D0%BD,"Миккен - кузнец из Винтерфелла.
Вместе с другими работниками и слугами Винтерфелла Миккен присутствовал на встрече короля и его свиты, прибывших в замок. Он стоял за мейстером Лювином. («Зима близко»)
"
http://gameofthrones.wikia.com/wiki/Mordane,Мордейн,http://ru.gameofthrones.wikia.com/wiki/%D0%9C%D0%BE%D1%80%D0%B4%D0%B5%D0%B9%D0%BD,"Мордейн — септа Веры в Семерых, которая служит в Винтерфелле и воспитывает дочерей лорда Эддарда Старка. Она преподаёт им рукоделие, вышивку, пение и другие навыки, которыми должна владеть леди.
Незадолго до приезда в Винтерфелл короля Роберта Мордейн обучает Сансу и Арью Старк вышивке. Она хвалит работу Сансы и не обращает внимания на то, что Арье не нравится это занятие. («Зима близко») 
"
http://gameofthrones.wikia.com/wiki/Cregan_Stark,Криган Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%9A%D1%80%D0%B8%D0%B3%D0%B0%D0%BD_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Криган Старк — лорд Винтерфелла во время Танца драконов.
Однажды принц Эймон Таргариен, известный как Рыцарь-Дракон, вступил в поединок с Криганом Старком и с большим трудом одолел соперника. 
"
http://gameofthrones.wikia.com/wiki/Ice,Лёд,http://ru.gameofthrones.wikia.com/wiki/%D0%9B%D1%91%D0%B4,"Лёд — фамильный меч Старков, сделанный из валирийской стали. Передается по наследству. Используется как на войне, так и на церемониях.
Эддард Старк использовал Лёд, чтобы отрубить голову Уиллу, дезертиру из Ночного дозора. Теон Грейджой держал ножны, Эддард вытащил из них меч. Он держал меч перед собой, пока произносил приговор. Позже Эддард чистил Лёд от крови в богороще Винтерфелла. («Зима близко»)
"
http://gameofthrones.wikia.com/wiki/Lyanna_Stark,Лианна Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%9B%D0%B8%D0%B0%D0%BD%D0%BD%D0%B0_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Лианна Таргариен (урождённая Старк) — младшая сестра Эддарда Старка и родная мать Джона Сноу. Похищение Лианны Старк Рейгаром Таргариеном стало одной из причин начала восстания Роберта Баратеона. Лианна скончалась на руках Неда Старка вскоре после родов.
Лианна — единственная дочь Рикарда Старка, главы дома Старков, правителей Севера и лордов Винтерфелла. Отец организовал брак дочери с Робертом Баратеоном, однако она приглянулась принцу Рейгару Таргариену. На знаменитом турнире в Харренхоле после победы в финальном поединке Рейгар объявил королевой турнира не свою жену Элию, а Лианну, и вручил ей венок из ее любимых голубых зимних роз. Впоследствии он похитил девушку, увез её в Дорн и спрятал в Башне Радости. 
"
http://gameofthrones.wikia.com/wiki/Northern_Lord,Лорд с Севера,http://ru.gameofthrones.wikia.com/wiki/%D0%9B%D0%BE%D1%80%D0%B4_%D1%81_%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D0%B0,"Лорд с Севера — знаменосец дома Старков.
Лорд приходит на приём к Брану, исполняющему обязанности лорда Винтерфелла, и сетует на то, что замок в запустении, а всех молодых мужчин забрал с собой Робб на свою войну. Бран говорит, что война не только Робба, и не он её начал. Также Бран напоминает о клятве верности, данной лорду Старку. Мейстер Лювин вмешивается в разговор, пресекая прения, и спрашивает, достаточно ли будет лорду четырёх каменщиков на две недели. Лорд соглашается. («Север помнит»)
"
http://gameofthrones.wikia.com/wiki/Luwin,Лювин,http://ru.gameofthrones.wikia.com/wiki/%D0%9B%D1%8E%D0%B2%D0%B8%D0%BD,"Мейстер Лювин — один из членов Ордена мейстеров, который исполняет свои обязанности в Винтерфелле и предан Старкам.
Лювин служит в Винтерфелле, замке Старков. Он очень предан этой семье, а они, в свою очередь, всегда прислушиваются к его советам. Как и все мейстеры, занимается воспитанием и обучением детей лорда.
"
http://gameofthrones.wikia.com/wiki/Old_Nan,Нэн,http://ru.gameofthrones.wikia.com/wiki/%D0%9D%D1%8D%D0%BD,"Нэн или Старая Нэн — служанка дома Старков в Винтерфелле и прабабушка Ходора.
Нэн много лет прислуживает в Винтерфелле, рассказывая сказки и различные истории детям Эддарда и Кейтилин Старк. 
"
http://gameofthrones.wikia.com/wiki/Osric_Stark,Озрик Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%9E%D0%B7%D1%80%D0%B8%D0%BA_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Озрик Старк — представитель дома Старков и брат Ночного дозора, умерший задолго до начала событий сериала.
Озрик Старк был самым молодым лордом-командующим за всю историю Ночного дозора, его избрали в возрасте 10 лет.
"
http://gameofthrones.wikia.com/wiki/Stark_guard_(A_Man_Without_Honor),Охранник Старков (Человек без чести),http://ru.gameofthrones.wikia.com/wiki/%D0%9E%D1%85%D1%80%D0%B0%D0%BD%D0%BD%D0%B8%D0%BA_%D0%A1%D1%82%D0%B0%D1%80%D0%BA%D0%BE%D0%B2_(%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA_%D0%B1%D0%B5%D0%B7_%D1%87%D0%B5%D1%81%D1%82%D0%B8),"Охранник Старков – неназванный персонаж.
Охраняет пойманного после побега Джейме Ланнистера. Кейтилин Старк просит его оставить их с Джейме одних. Солдат отвечает, что ему приказано охранять Джейме безотлучно, тогда Кейтилин приказывает оставить их одних. («Человек без чести»)
"
http://gameofthrones.wikia.com/wiki/Osha,Оша,http://ru.gameofthrones.wikia.com/wiki/%D0%9E%D1%88%D0%B0,"Оша — женщина из одичалых, служившая дому Старков из Винтерфелла.
Оша — одна из одичалых, которые живут к северу от Стены. Как и другие одичалые, она поклоняется Старым Богам. По её словам, бежала за Стену с группой других одичалых в связи с пробуждением белых ходоков и другой нежити, надеясь укрыться на юге. («Победа или смерть») Они обошли Стену на лодке через Тюлений залив, что к востоку от Стены. («Медведь и прекрасная дева») 
"
http://gameofthrones.wikia.com/wiki/Palla,Палла,http://ru.gameofthrones.wikia.com/wiki/%D0%9F%D0%B0%D0%BB%D0%BB%D0%B0,"Палла — дочь Фарлена, псаря в Винтерфелле.
Палла несла охапку соломы по большому залу Винтерфелла и натолкнулась на лютоволка Брана Старка Лето, который сильно испугал девушку. («Север помнит»)
"
http://gameofthrones.wikia.com/wiki/Winterfell_shepherd,Пастух из Винтерфелла,http://ru.gameofthrones.wikia.com/wiki/%D0%9F%D0%B0%D1%81%D1%82%D1%83%D1%85_%D0%B8%D0%B7_%D0%92%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D1%84%D0%B5%D0%BB%D0%BB%D0%B0,"Пастух из Винтерфелла – неназванный персонаж.
Приходит на приём к Брану, исполняющему обязанности лорда Винтерфелла, и просит помощи: все три его сына сражаются на юге, в армии Робба, ему одному трудно уследить за стадом. Бран распоряжается отправить в нему двух сирот из Винтерфелла. («Призрак Харренхола»)
"
http://gameofthrones.wikia.com/wiki/Theon%27s_master_of_hounds,Псарь Винтерфелла,http://ru.gameofthrones.wikia.com/wiki/%D0%9F%D1%81%D0%B0%D1%80%D1%8C_%D0%92%D0%B8%D0%BD%D1%82%D0%B5%D1%80%D1%84%D0%B5%D0%BB%D0%BB%D0%B0,"Псарь Винтерфелла – неназванный персонаж.
Во время организованной Теоном погони ведёт гончих по следу сбежавших из Винтерфелла Брана и Рикона. В пути гончие несколько раз теряют следы, у фермы пастуха теряют их окончательно. («Человек без чести»)
"
http://gameofthrones.wikia.com/wiki/Rickard_Stark,Рикард Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%A0%D0%B8%D0%BA%D0%B0%D1%80%D0%B4_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Рикард Старк — отец Брандона Старка,  Эддарда Старка, Бенджена Старка и Лианны Старк. Умер до начала событий сериала. Появляется в видениях Брана.
История Рикарда неоднократно описывалась в дополнительных материалах к сериалу.
"
http://gameofthrones.wikia.com/wiki/Rickard_Stark_(King),Рикард Старк (король),http://ru.gameofthrones.wikia.com/wiki/%D0%A0%D0%B8%D0%BA%D0%B0%D1%80%D0%B4_%D0%A1%D1%82%D0%B0%D1%80%D0%BA_(%D0%BA%D0%BE%D1%80%D0%BE%D0%BB%D1%8C),"Рикард Старк — король Севера. 
Рикард не упоминался в сериале, но появлялся в дополнительных материалах к шестому сезону.
"
http://gameofthrones.wikia.com/wiki/Rickon_Stark,Рикон Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%A0%D0%B8%D0%BA%D0%BE%D0%BD_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Рикон Старк — самый младший сын лорда Эддарда Старка из Винтерфелла и его жены Кейтилин Старк.
Рикон родился и вырос в Винтерфелле. У него есть две старшие сестры Санса и Арья, а также старшие братья Робб и Бран и двоюродный брат Джон Сноу, выдаваемый за бастарда его отца. Рикона назвали в честь его деда, Рикарда, который погиб за одиннадцать лет до его рождения. В начале сериала ему только шесть лет.
"
http://gameofthrones.wikia.com/wiki/Portan,Портан,http://ru.gameofthrones.wikia.com/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%B0%D0%BD,"Лорд Портан – один из лордов Севера.
Приходит на приём к Брану, исполняющему обязанности лорда Винтерфелла, следом за неназванным лордом с Севера. («Север помнит»)
"
http://gameofthrones.wikia.com/wiki/Stark_messenger,Посыльный Старков,http://ru.gameofthrones.wikia.com/wiki/%D0%9F%D0%BE%D1%81%D1%8B%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%A1%D1%82%D0%B0%D1%80%D0%BA%D0%BE%D0%B2,"Посыльный Старков – неназванный персонаж.
Находит Робба Старка, возвращающегося в компании Талисы после принятия капитуляции Скалы, и сообщает, что пойманный после побега Джейме Ланнистер снова бежал. («Принц Винтерфелла»)
"
http://gameofthrones.wikia.com/wiki/Robb_Stark,Робб Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%A0%D0%BE%D0%B1%D0%B1_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Робб Старк — старший сын лорда Эддарда Старка из Винтерфелла и его жены Кейтилин Старк. У него две сестры и два брата. После смерти Эддарда Старка, он стал лордом Винтерфелла, а позже был провозглашён королём Севера.
Робб родился в Риверране, а вырос в Винтерфелле. Его отец, Эддард Старк, на следующий день после свадьбы ушел на войну, в то время бушевало восстание Роберта. Восстание закончилось, а Эддард вернулся уже после того, как Робб родился. У Робба есть двое младших братьев, Бран и Рикон, а также две сестры, Санса и Арья. Робб очень дружен с Джоном Сноу и с Теоном Грейджоем. С детства Робба обучал мастер над оружием замка Родрик Кассель, благодаря которому Робб отлично научился владеть мечом.
"
http://gameofthrones.wikia.com/wiki/Rodrik_Cassel,Родрик Кассель,http://ru.gameofthrones.wikia.com/wiki/%D0%A0%D0%BE%D0%B4%D1%80%D0%B8%D0%BA_%D0%9A%D0%B0%D1%81%D1%81%D0%B5%D0%BB%D1%8C,"Родрик Кассель — мастер над оружием в Винтерфелле, кастелян фамильного замка Старков.
Родрик Кассель много лет верно служил Старкам и даже в преклонном возрасте отлично владел мечом. Он научил искусству ведения боя Робба Старка, Теона Грейджоя и Джона Сноу. Родрик являлся главным военным советником Старков.
"
http://gameofthrones.wikia.com/wiki/Rodrik_Stark,Родрик Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%A0%D0%BE%D0%B4%D1%80%D0%B8%D0%BA_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Родрик Старк — король Севера. 
Родрик не упоминался в сериале, но появлялся в дополнительных материалах к шестому сезону.
"
http://gameofthrones.wikia.com/wiki/Sansa_Stark,Санса Старк,http://ru.gameofthrones.wikia.com/wiki/%D0%A1%D0%B0%D0%BD%D1%81%D0%B0_%D0%A1%D1%82%D0%B0%D1%80%D0%BA,"Санса Старк, в замужестве Санса Болтон — старшая дочь лорда Эддарда Старка из Винтерфелла и его жены Кейтилин Старк. У неё есть четыре брата и сестра. 
Санса родилась и выросла в Винтерфелле. У нее хорошо получается все, что должна делать настоящая леди: Санса отлично шьет, вышивает, увлекается музыкой и поэзией. Цвета ее волос и глаз унаследованы от матери, которая родом из дома Талли, и Кейтилин считает, что Санса красивее, чем была она в ее возрасте.
"
http://gameofthrones.wikia.com/wiki/Stark_guard_(The_Pointy_End),Солдат Старков,http://ru.gameofthrones.wikia.com/wiki/%D0%A1%D0%BE%D0%BB%D0%B4%D0%B0%D1%82_%D0%A1%D1%82%D0%B0%D1%80%D0%BA%D0%BE%D0%B2,"Солдат Старков – неназванный персонаж.

"
http://gameofthrones.wikia.com/wiki/Jacks,Солдат Старков (Человек без чести),http://ru.gameofthrones.wikia.com/wiki/%D0%A1%D0%BE%D0%BB%D0%B4%D0%B0%D1%82_%D0%A1%D1%82%D0%B0%D1%80%D0%BA%D0%BE%D0%B2_(%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA_%D0%B1%D0%B5%D0%B7_%D1%87%D0%B5%D1%81%D1%82%D0%B8),"Солдат Старков – неназванный персонаж.
Пытается вбежать в шатёр Кейтилин Старк, остановлен Бриенной Тарт. После перепалки с ней извиняется и сообщает леди Старк, что Джейме Ланнистер, бежавший накануне, убив Элтона Ланнистера и Торрхена Карстарка, пойман. («Человек без чести»)
"
http://gameofthrones.wikia.com/wiki/House_Stark,Старки,http://ru.gameofthrones.wikia.com/wiki/%D0%A1%D1%82%D0%B0%D1%80%D0%BA%D0%B8,"Старки — великий дом Вестероса, правители Севера.
Очень древний род. Считается, что их родословная не прерывалась со времен Брандона Строителя, жившего восемь тысяч лет назад. Как и многие другие дома Севера, Старки сохранили веру в Старых Богов. 
"
http://gameofthrones.wikia.com/wiki/Stark_guard_(Fire_and_Blood),Стражник Старков (Пламя и кровь),http://ru.gameofthrones.wikia.com/wiki/%D0%A1%D1%82%D1%80%D0%B0%D0%B6%D0%BD%D0%B8%D0%BA_%D0%A1%D1%82%D0%B0%D1%80%D0%BA%D0%BE%D0%B2_(%D0%9F%D0%BB%D0%B0%D0%BC%D1%8F_%D0%B8_%D0%BA%D1%80%D0%BE%D0%B2%D1%8C),"Стражник Старков – неназванный персонаж.

"
http://gameofthrones.wikia.com/wiki/Stark_soldier_(Valar_Morghulis),Солдат Старков 1 (Валар моргулис),http://ru.gameofthrones.wikia.com/wiki/%D0%A1%D0%BE%D0%BB%D0%B4%D0%B0%D1%82_%D0%A1%D1%82%D0%B0%D1%80%D0%BA%D0%BE%D0%B2_1_(%D0%92%D0%B0%D0%BB%D0%B0%D1%80_%D0%BC%D0%BE%D1%80%D0%B3%D1%83%D0%BB%D0%B8%D1%81),"Солдат Старков – неназванный персонаж.

"
http://gameofthrones.wikia.com/wiki/Tom,Солдат Старков 2 (Валар моргулис),http://ru.gameofthrones.wikia.com/wiki/%D0%A1%D0%BE%D0%BB%D0%B4%D0%B0%D1%82_%D0%A1%D1%82%D0%B0%D1%80%D0%BA%D0%BE%D0%B2_2_(%D0%92%D0%B0%D0%BB%D0%B0%D1%80_%D0%BC%D0%BE%D1%80%D0%B3%D1%83%D0%BB%D0%B8%D1%81),"Солдат Старков – неназванный персонаж, командир группы северян.
Группа из трёх солдат северян в поисках утерянного ножа возвращается к дереву, на котором они повесили трёх трактирных девок, путавшихся с солдатами Ланнистеров. У дерева они обнаруживают Бриенну Тарт, конвоирующую Джейме Ланнистера. Заговорив с ними, понимают, что конвоир – женщина, это вызывает у солдат приступ хохота. Приглядевшись к Джейме, один из солдат понимает, что где-то видел его и пытается это выяснить. После препирательств Джейме и Бриенна уже уходят, как вдруг солдат вспоминает, что видел пленника в Шепчущем лесу – это Джейме Ланнистер, цареубийца. Бриенна и Джейме отрицают это, тогда командир предлагает им на счёт ""три"" одновременно назвать имя конвоируемого и считает до трёх. Бриенна убивает всех троих и хоронит повешенных женщин.  («Валар Моргулис»)
"
